Time(Iteration),LinUCB
0,1.48812542481
1,2.68066139707
2,3.98167622868
3,4.73132683709
4,5.46058150604
5,6.20225429057
6,7.33973678925
7,8.22592934557
8,9.15787716973
9,10.1470194814
10,11.2445509508
11,11.9985783119
12,12.5257816166
13,13.5225660391
14,14.1925875376
15,14.9867355685
16,15.3221813998
17,15.8379430529
18,16.3533913468
19,16.6600519094
20,16.7481574022
21,16.9675359058
22,17.3678304813
23,17.8465521267
24,18.0683585757
25,18.3261084017
26,18.8978755775
27,19.5252681399
28,19.7368978218
29,19.9176744195
30,20.1202487748
31,20.3113785963
32,20.3991005737
33,20.3991005737
34,20.4357822035
35,20.620295461
36,20.824752273
37,20.9850819269
38,21.1405132235
39,21.2961363542
40,21.3227540444
41,21.5357075776
42,21.7670171622
43,21.8943849531
44,21.9660758235
45,22.043646966
46,22.3428484656
47,22.3976132656
48,22.5329094554
49,22.7263197552
50,22.9166357307
51,22.9913196917
52,23.1366914956
53,23.2375446237
54,23.2735161036
55,23.4689245764
56,23.6764395235
57,23.8065930744
58,23.972930346
59,23.9937872159
60,24.1417156473
61,24.3312754232
62,24.5256195598
63,24.7387779293
64,24.8225768445
65,24.8810948719
66,24.8859730779
67,24.9940712832
68,25.0566580007
69,25.130747564
70,25.2382367641
71,25.4581596154
72,25.4911704116
73,25.5834241026
74,25.6274928184
75,25.8265772291
76,25.9655907666
77,26.0772077055
78,26.1502621571
79,26.2147214357
80,26.311285808
81,26.4121678282
82,26.7718635282
83,26.7742150739
84,26.8352463343
85,26.8663524895
86,27.007456964
87,27.0393236915
88,27.0537310362
89,27.113490977
90,27.1854589577
91,27.1932569934
92,27.3414188486
93,27.3930870267
94,27.553631822
95,27.7172836513
96,27.739466194
97,27.8316750707
98,27.9208671759
99,28.0232031678
