Time(Iteration),CLUB
0,2.24833373027
1,3.99874991695
2,5.81970994823
3,7.25080291635
4,8.65089271736
5,9.14233348641
6,9.63482124485
7,10.4690409975
8,11.3148157187
9,12.5888947369
10,13.3604917273
11,14.2310664015
12,14.3944868501
13,15.1350728022
14,15.9305356151
15,16.083830142
16,17.4907873657
17,17.9347274284
18,18.5579940767
19,19.7627386862
20,19.9006774048
21,20.6191492065
22,21.3404731848
23,21.9862072574
24,22.3603421458
25,22.8658066379
26,23.6030696653
27,24.1121890463
28,24.4324883237
29,24.9536650774
30,25.3536224624
31,25.7609036057
32,26.2569567036
33,26.4265467434
34,26.7767704845
35,27.4004372579
36,27.5451313981
37,28.2108681836
38,28.217679301
39,28.31180798
40,28.7395468223
41,29.1088660608
42,29.1770267172
43,29.5026612893
44,29.6535602903
45,29.7680277832
46,30.1058411078
47,30.3816976378
48,30.7785612087
49,31.175790997
50,31.4158459208
51,31.5561740531
52,31.7738467354
53,31.8269743587
54,32.0469113296
55,32.1837695024
56,32.2498029526
57,32.2791891475
58,32.3060115061
59,32.5297826965
60,32.9055931566
61,33.0387687598
62,33.4573995917
63,33.6260622414
64,33.7042074226
65,33.9817242445
66,34.2362177828
67,34.7361401743
68,34.8370149068
69,35.0749263955
70,35.1753943157
71,35.3817371501
72,35.722233738
73,35.7725532302
74,36.0630229482
75,36.2036918642
76,36.4805070525
77,36.5383299754
78,36.7049802659
79,36.8223594015
80,37.0654656815
81,37.449315626
82,37.8258336069
83,37.9976836879
84,38.094616803
85,38.1948901878
86,38.3534048379
87,38.3914406303
88,38.5349597194
89,38.7014205454
90,38.7733733721
91,38.9067733785
92,39.0780854685
93,39.1098156122
94,39.1759670907
95,39.2318448577
96,39.360805477
97,39.4636290829
98,39.9059473819
99,40.1432955321
