Time(Iteration),CascadeUCB
0,1.0
1,1.0
2,1.0
3,3.0
4,3.0
5,3.0
6,3.0
7,4.0
8,4.0
9,4.0
10,4.0
11,4.0
12,4.0
13,5.0
14,6.0
15,6.0
16,6.0
17,6.0
18,7.0
19,7.0
20,7.0
21,8.0
22,8.0
23,9.0
24,9.0
25,10.0
26,10.0
27,11.0
28,11.0
29,11.0
30,11.0
31,12.0
32,12.0
33,14.0
34,14.0
35,14.0
36,15.0
37,15.0
38,17.0
39,17.0
40,17.0
41,18.0
42,19.0
43,19.0
44,19.0
45,19.0
46,19.0
47,19.0
48,20.0
49,20.0
50,22.0
51,22.0
52,23.0
53,23.0
54,24.0
55,25.0
56,25.0
57,27.0
58,28.0
59,29.0
60,29.0
61,29.0
62,29.0
63,29.0
64,31.0
65,31.0
66,31.0
67,31.0
68,32.0
69,32.0
70,32.0
71,32.0
72,32.0
73,32.0
74,32.0
75,32.0
76,32.0
77,33.0
78,34.0
79,34.0
80,35.0
81,36.0
82,36.0
83,36.0
84,36.0
85,36.0
86,36.0
87,36.0
88,37.0
89,38.0
90,38.0
91,38.0
92,38.0
93,38.0
94,38.0
95,39.0
96,40.0
97,41.0
98,41.0
99,41.0
100,41.0
101,42.0
102,42.0
103,42.0
104,42.0
105,43.0
106,43.0
107,43.0
108,43.0
109,43.0
110,43.0
111,43.0
112,43.0
113,43.0
114,44.0
115,44.0
116,45.0
117,45.0
118,45.0
119,45.0
120,45.0
121,45.0
122,47.0
123,47.0
124,47.0
125,47.0
126,47.0
127,47.0
128,47.0
129,49.0
130,49.0
131,49.0
132,49.0
133,49.0
134,49.0
135,49.0
136,49.0
137,49.0
138,49.0
139,49.0
140,49.0
141,49.0
142,49.0
143,51.0
144,51.0
145,51.0
146,52.0
147,52.0
148,52.0
149,53.0
150,53.0
151,54.0
152,54.0
153,54.0
154,54.0
155,54.0
156,54.0
157,55.0
158,55.0
159,55.0
160,55.0
161,55.0
162,55.0
163,55.0
164,55.0
165,55.0
166,56.0
167,56.0
168,57.0
169,58.0
170,58.0
171,58.0
172,58.0
173,59.0
174,59.0
175,60.0
176,60.0
177,61.0
178,62.0
179,62.0
180,62.0
181,62.0
182,65.0
183,65.0
184,65.0
185,65.0
186,66.0
187,66.0
188,67.0
189,67.0
190,67.0
191,67.0
192,67.0
193,67.0
194,69.0
195,69.0
196,70.0
197,71.0
198,71.0
199,72.0
200,73.0
201,73.0
202,73.0
203,73.0
204,74.0
205,75.0
206,76.0
